Seed,Initial_Density,Final_Step_Count,Final_Density,Reason
1,1,2,0.0, zeros 
2,1,2,0.0, zeros 
3,1,1,0.0, zeros 
4,1,1,0.0, zeros 
5,1,1,0.0, zeros 
6,1,1,0.0, zeros 
7,1,1,0.0, zeros 
8,1,2,0.0, zeros 
9,1,1,0.0, zeros 
10,1,1,0.0, zeros 
1,2,3,0.0, zeros 
2,2,3,0.0, zeros 
3,2,2,0.0, zeros 
4,2,2,0.0, zeros 
5,2,2,0.0, zeros 
6,2,3,0.0003, stagnated 
7,2,2,0.0, zeros 
8,2,2,0.0, zeros 
9,2,2,0.0, zeros 
10,2,5,0.0, zeros 
1,3,3,0.0, zeros 
2,3,6,0.0015, stagnated 
3,3,3,0.0009, stagnated 
4,3,4,0.0, zeros 
5,3,5,0.0006, stagnated 
6,3,3,0.0013, stagnated 
7,3,266,0.0011, stagnated 
8,3,5,0.0, zeros 
9,3,5,0.0009, stagnated 
10,3,6,0.0015, stagnated 
1,4,11,0.0012, stagnated 
2,4,6,0.0024, stagnated 
3,4,6,0.002, stagnated 
4,4,2285,0.0215, stagnated 
5,4,11,0.0027, stagnated 
6,4,4,0.0026, stagnated 
7,4,266,0.0028, stagnated 
8,4,12,0.0016, stagnated 
9,4,8,0.0006, stagnated 
10,4,104,0.0021, stagnated 
1,5,638,0.0114, stagnated 
2,5,282,0.0067, stagnated 
3,5,6,0.0057, stagnated 
4,5,1388,0.0189, stagnated 
5,5,447,0.0103, stagnated 
6,5,12,0.007, stagnated 
7,5,266,0.0048, stagnated 
8,5,12,0.0037, stagnated 
9,5,8,0.0026, stagnated 
10,5,104,0.0036, stagnated 
1,6,340,0.0077, stagnated 
2,6,682,0.0174, stagnated 
3,6,184,0.01, stagnated 
4,6,837,0.018, stagnated 
5,6,245,0.0085, stagnated 
6,6,21,0.0083, stagnated 
7,6,266,0.0065, stagnated 
8,6,98,0.006, stagnated 
9,6,19,0.0062, stagnated 
10,6,104,0.0083, stagnated 
1,7,161,0.009, stagnated 
2,7,1631,0.0236, stagnated 
3,7,184,0.0179, stagnated 
4,7,42,0.0116, stagnated 
5,7,69,0.0126, stagnated 
6,7,12,0.0075, stagnated 
7,7,266,0.0081, stagnated 
8,7,98,0.0087, stagnated 
9,7,85,0.011, stagnated 
10,7,363,0.0157, stagnated 
1,8,193,0.0194, stagnated 
2,8,467,0.0167, stagnated 
3,8,220,0.0225, stagnated 
4,8,171,0.0185, stagnated 
5,8,534,0.0191, stagnated 
6,8,28,0.012, stagnated 
7,8,266,0.0159, stagnated 
8,8,34,0.0102, stagnated 
9,8,85,0.0154, stagnated 
10,8,1519,0.0224, stagnated 
1,9,559,0.0292, stagnated 
2,9,686,0.0234, stagnated 
3,9,637,0.0235, stagnated 
4,9,285,0.026, stagnated 
5,9,2310,0.0325, stagnated 
6,9,1503,0.021, stagnated 
7,9,1277,0.0247, stagnated 
